wave0	wave1_smth
5.645044	3030.0955
5.650044	2982.3085
5.655044	2892.0265
5.660044	2852.591
5.665044	2844.23825
5.670044	2840.29875
5.675045	2869.36675
5.680045	2881.7095
5.685045	2756.962
5.690045	2682.71025
5.695045	2762.098
5.700045	2822.561
5.705045	2911.52375
5.710045	2977.32025
5.715045	2901.63125
5.720046	2869.8745
5.725046	2898.68325
5.730046	2899.23125
5.735046	2942.24725
5.740046	3035.8945
5.745046	3110.134
5.750046	3104.07975
5.755046	3067.54
5.760046	3069.98675
5.765047	3068.92675
5.770047	2994.44625
5.775047	2921.45575
5.780047	2970.52925
5.785047	3082.03825
5.790047	3171.26975
5.795047	3203.8505
5.800047	3196.27175
5.805048	3221.5405
5.810048	3248.0745
5.815048	3212.5615
5.820048	3144.71225
5.825048	3107.58975
5.830048	3141.10175
5.835048	3176.66425
5.840048	3144.96325
5.845048	3135.98975
5.850049	3173.1105
5.855049	3194.5975
5.860049	3127.03525
5.865049	3072.033
5.870049	3230.4265
5.875049	3377.574
5.880049	3332.86675
5.885049	3328.16075
5.890049	3468.74375
5.89505	3574.06
5.90005	3570.6805
5.90505	3560.4965
5.91005	3582.20025
5.91505	3577.4055
5.92005	3432.7465
5.92505	3210.15225
5.93005	3167.402
5.93505	3284.9115
5.940051	3263.382
5.945051	3113.903
5.950051	3045.493
5.955051	3079.56625
5.960051	3102.48425
5.965051	3068.46175
5.970051	3077.50525
5.975051	3223.58025
5.980052	3422.376
5.985052	3363.62225
5.990052	3181.18325
5.995052	3172.23
6.000052	3111.29425
6.005052	3069.44875
6.010052	3175.30075
6.015052	3231.19275
6.020052	3286.40475
6.025053	3323.011
6.030053	3250.17775
6.035053	3194.167
6.040053	3262.4225
6.045053	3406.35975
6.050053	3487.572
6.055053	3432.887
6.060053	3381.4905
6.065053	3407.04275
6.070054	3379.79675
6.075054	3406.3765
6.080054	3488.54775
6.085054	3478.584
6.090054	3512.65075
6.095054	3502.30725
6.100054	3451.97375
6.105054	3515.143
6.110054	3539.1315
6.115055	3581.117
6.120055	3585.778
6.125055	3530.4695
6.130055	3519.78775
6.135055	3354.028
6.140055	3247.34775
6.145055	3416.66975
6.150055	3436.44175
6.155056	3235.12475
6.160056	3262.5785
6.165056	3472.7275
6.170056	3573.18975
6.175056	3578.524
6.180056	3465.06575
6.185056	3361.123
6.190056	3456.19225
6.195056	3571.79075
6.200057	3551.22575
6.205057	3447.70325
6.210057	3412.16575
6.215057	3486.35625
6.220057	3450.058
6.225057	3316.514
6.230057	3328.3715
6.235057	3366.85275
6.240057	3308.55025
6.245058	3235.323
6.250058	3187.00225
6.255058	3189.74125
6.260058	3213.7465
6.265058	3217.3825
6.270058	3206.76875
6.275058	3144.75925
6.280058	2978.28425
6.285058	2741.599775
6.290059	2509.37865
6.295059	2403.075625
6.300059	2298.944575
6.305059	2068.303075
6.310059	1836.8474
6.315059	1571.168425
6.320059	1276.118625
6.325059	981.5798
6.33006	807.247975
6.33506	773.29798
6.34006	652.02236
6.34506	557.34658
6.35006	445.1835925
6.35506	201.721885
6.36006	88.5736825
6.36506	176.283855
6.37006	243.926455
6.375061	189.774855
6.380061	132.816135
6.385061	132.032095
6.390061	158.8058125
6.395061	202.627505
6.400061	202.25401
6.405061	94.174345
6.410061	16.5912425
6.415061	31.32971
6.420062	-31.912505
6.425062	-82.164525
6.430062	36.773295
6.435062	199.47123
6.440062	272.66839
6.445062	297.699645
6.450062	328.73432
